Medicine,Condition,Review
Actos,"Diabetes, Type 2","""Have been on Actos for almost a year, gained 24 pounds and have swelling in hands and feet and are retaining a lot of water in my thighs.  My sugar levels are good.  My doctor lowered my dosage from 30 mg to 15 mg but refused to take me off.  Will get a second opinion because the side effects are too much."""
Afrezza,"Diabetes, Type 1","""Since I was on the trials I put 6+ months but I have been back on Afrezza for about 2 weeks.  Afrezza is nothing short of a miracle. I am a type 1 diabetic and my blood sugar average in the past 10 days has been 110. I have a CGM so I have had 2880 readings in the past 10 days.  A 110 average equals to an A1C of 5.45. This is possible because Afrezza mimics the speed of a healthy pancreas. Afrezza starts working in only 12-15 minutes and works out of my system very quickly. This allows me to manage my glucose in real time without babysitting diabetes all day. Even if I do have a high I can knock my sugars back to 100 in a matter of minutes."""
"Insulin inhalation, rapid acting","Diabetes, Type 1","""Horrible"""
Liraglutide,"Diabetes, Type 2","""I have been taking Victoza for about a month. Started at 0.6mg for the first two weeks and lost about 3 pounds. Increased to 1.2mg after two weeks and have lost an extra 9 pounds for a total of twelve pounds the first month. My main complaint is a little upset stomach and a little diarrhea. But I can handle it for the sake of weight loss. I seriously cannot eat no where near as much as before.  I used to be able to eat 6 pieces of a papa John&#039;s large pizza in one sitting. Now I can barely eat 2 without the crust. I have waaaaayyyy more energy now. I don&#039;t understand how some people are having problems with injection site.  I Wash my hands and use alcohol to clean injection site before I give myself the shot."""
Glyburide,"Diabetes, Type 2","""I am taking 1/2 pill twice a day (5mg total) with Fortamet, the difference is amazing!"""
Dulaglutide,"Diabetes, Type 2","""I started this 4wks ago.  I have lost weight and sugars are down.  The side effects are awful and almost unbearable.  I hate it.  I called the doctor and told her I have indigestion from hell gas, stomach bloating, explosive diaharra, nausea. She said to hang in there it will get better.  I took the last shot today and already feeling the side effects.  I want to know why the hell a company would make medicine like this.  I will never take this again.  Very displeased"""
Canagliflozin,"Diabetes, Type 2","""Took 100 mg Invokana for three weeks and blood sugar readings dropped dramatically even after reducing insulin dosage. Then feet started a &quot;burning&quot; feeling and shooting pains in my right foot. This persisted for 3 days and I decided I didn&#039;t want to think about potential lose of my feet. Life moves on with one less concern."""
Trulicity,"Diabetes, Type 2","""I started this injectible over a a year ago and am stopping it on my doctor&#039;s advice.  After all the usual start up symptoms went away after a few weeks, the medication did seem to work, but as time went on it seemed to not work as well. Also, my hair started to thin out and fall out, mildly, and I have Tinnitus and it definitely made it worse, making it very loud. I also started having problems with my liver, gastritis and my thyroid has almost completely stopped working, so now I have to be on Synthroid! Make sure your doctor checks your thyroid at times.TO THE LADY WITH THE NEW STENTS= I have fourteen stents, no problem whatsoever. I also found it helped with the weakness if I ate first thing in the morning."""
Dulaglutide,"Diabetes, Type 2","""Just took my 8th injection of .75 Trulicity today.  It has been amazing.  I always had trouble with my sugars and would get horrible welts from Levemir.  Doctor switched me from Levemir to Tresiba (62 units each morning) and the difference has been amazing.  I have GERD so all I can report is that it definitely has not been worse.  My sugars used to run around 230 to 323 most of the time.  Now they are from about 65 to 130.  If I&#039;m under 80, I don&#039;t take any short-acting, which is Novolog for me.  I&#039;ve lost about 7 pounds and my cravings are a thing of the past.  I am on SSDI and with prior-authorization from my endocrinologist, Medicare has authorized payment.  If it ever doesn&#039;t, Trulicity and I will part ways."""
Metformin,"Diabetes, Type 2","""Many subtle side effects that clear over time.  Chance of infection side effect is curious as that is a condition to be religiously avoided with diabetes of any type.  Also since starting Metformin I have red skin on right leg that seems to never go away.  More than a coincidence I think that this appeared right after starting this medication.  I am finding controlling my diet and exercise a much better solution than current drugs but will take for a while longer."""
Exubera,"Diabetes, Type 2","""I thought it was pretty awesome stuff, but thanks to 6
(out of 4000) old, broken down, lifetime smokers it&#039;s no longer with us. When I found out Pfizer stopped making it, it was like a little piece of me died. Now I get to stab myself a few times a day to stay alive. Such fun. 6 out of 4000! Really? 0.15%? What a shame. % of Americans with lung cancer in 2008 was 7.3%."""
Dulaglutide,"Diabetes, Type 2","""On my third week and for me have suffered few ill effects. I was quite concerned about using the Trulicity after reading these many rather negative reviews. But, I decided to try it as the injection method is fantastically simple. 
I for whatever reason cannot inject myself with insulin. My wife had to do it daily, something she was not crazy about. 
Now, once a week and a hidden needle it is very very easy now.
So far I have not experienced any of these other symptoms except a brief feeling of nausea. Nothing really bad at all.
So for me this is great. My glucose numbers have dropped quite a bit and at the moment just above where I want to be. (Around 150 - I was much higher before even with insulin at around 190-sh).
Also taking Junovia.."""
Dapagliflozin,"Diabetes, Type 2","""(on for 4 months) Worked well so I did not take as much insulin - had one yeast infection that stopped after fluconazole-I did NOT lose weight despite eating better with this. Major side effect of hair loss so I am stopping - my numbers were fine before this and the hair loss (and crappy texture) is so not worth it...doctor never mentioned hair loss as a side effect."""
